niveau_scolaire,sem_mat,code_mat,nom_mat,nom_fichier,prompt_ia
L1,2,DIF210002,Dérivation et intégration de fonctions réelles,L1_S2_DIF210002.jpg,"Close-up photo of a chalkboard covered in calculus equations (derivatives and integrals), classroom setting, warm lighting, shallow depth of field, no people, photorealistic"
L1,2,ELC210002,Electricité,L1_S2_ELC210002.jpg,"Photorealistic close-up of an electrical circuit board with wires, resistors and a multimeter on a lab bench, professional lighting, no people"
L1,1,IAI210001,Initiation à l Informatique,L1_S1_IAI210001.jpg,"Photorealistic shot of a modern computer keyboard and monitor showing a simple desktop interface, clean workspace, soft lighting, no people, no visible brand logos"
L1,2,IAP210002,Introduction à l Algorithme et Programmation,L1_S2_IAP210002.jpg,"Photorealistic close-up of a computer screen displaying colorful lines of programming code, dark theme editor, shallow depth of field, no people, no readable logos"
L1,2,IPS210002,Introduction à la programmation scientifique,L1_S2_IPS210002.jpg,"Photorealistic photo of a computer screen showing a scientific plot next to lines of code, laptop on a desk, natural light, no people"
L1,1,LSA210001,Logique et Structures Algébriques,L1_S1_LSA210001.jpg,"Photorealistic close-up of a chalkboard filled with algebraic symbols, logical notation and set theory diagrams, classroom lighting, no people"
L1,1,MDP210001,Mécanique du Point,L1_S1_MDP210001.jpg,"Photorealistic photo of a pendulum and inclined plane physics experiment setup on a lab table, classic mechanics apparatus, natural light, no people"
L1,2,MEO210002,TP Mécanique Electricité Optique,L1_S2_MEO210002.jpg,"Photorealistic photo of a physics laboratory bench with mechanical, electrical and optical instruments (springs, wires, lenses) arranged together, bright lab lighting, no people"
L1,2,MEV210002,Matrices espaces vectoriels et applications linéaires,L1_S2_MEV210002.jpg,"Photorealistic close-up of a chalkboard covered in matrix notation and vector diagrams, classroom setting, no people"
L1,2,OPT210002,Optique géométrique et Ondulatoire,L1_S2_OPT210002.jpg,"Photorealistic photo of a prism splitting light into a rainbow spectrum on an optical bench, dark background, dramatic lighting, no people"
L1,1,SNF210001,Suites Numériques et Fonctions,L1_S1_SNF210001.jpg,"Photorealistic close-up of a chalkboard with function graphs and numerical sequences drawn on it, classroom lighting, no people"
L1,1,TET210001,Techniques d Expression et TIC,L1_S1_TET210001.jpg,"Photorealistic photo of hands typing on a laptop next to an open notebook and pen, cozy desk setup, soft natural light, no visible face"
L2,1,ALP211103,Algorithme et Programmation,L2_S1_ALP211103.jpg,"Photorealistic close-up of a laptop screen showing structured programming code with a flowchart sketched on paper beside it, desk setting, no people, no readable logos"
L2,1,ANM213203,Anglais pour les mathématiques,L2_S1_ANM213203.jpg,"Photorealistic photo of an open English textbook next to a notebook with mathematical formulas, desk with natural light, no people"
L2,2,CNP212204,Calcul Numérique et Programmation scientifique,L2_S2_CNP212204.jpg,"Photorealistic photo of a computer screen displaying a numerical simulation graph with a code editor open in a second window, modern workspace, no people"
L2,1,ELM213203,Electromagnétisme,L2_S1_ELM213203.jpg,"Photorealistic close-up of a wire coil generating a magnetic field around a compass, physics lab demonstration, dramatic lighting, no people"
L2,2,FPV212204,Fonctions de plusieurs variables réelles,L2_S2_FPV212204.jpg,"Photorealistic photo of a physical mathematical surface model on a desk, next to a notebook with equations, soft lighting, no people"
L2,1,GOA212203,Géométrie affine,L2_S1_GOA212203.jpg,"Photorealistic close-up of geometric drawing instruments (compass, ruler, protractor) on a sheet with geometric constructions, classroom desk, no people"
L2,2,LRS213204,Lecture rapide et synthèse,L2_S2_LRS213204.jpg,"Photorealistic photo of an open book with a highlighter and sticky notes, cozy reading nook, warm natural light, no people"
L2,2,MEQ213204,Mecanique quantique,L2_S2_MEQ213204.jpg,"Photorealistic conceptual photo of an atom model sculpture lit dramatically in a dark room, physics laboratory aesthetic, no people"
L2,2,MES213204,Mécanique des systèmes,L2_S2_MES213204.jpg,"Photorealistic photo of a mechanical gear system or pulley apparatus in a physics laboratory, industrial lighting, no people"
L2,1,REE212203,Reduction des endomorphismes et Espaces euclidiens,L2_S1_REE212203.jpg,"Photorealistic close-up of a chalkboard with matrix diagonalization and eigenvalue notation, classroom lighting, no people"
L2,1,SDP212203,Statistique descriptive et Calcul des probabilités,L2_S1_SDP212203.jpg,"Photorealistic photo of dice and playing cards next to a notebook with statistical charts and bell curves drawn, desk setting, natural light, no people"
L2,1,SIG212203,Séries et Intégrales Généralisées,L2_S1_SIG212203.jpg,"Photorealistic close-up of a chalkboard filled with infinite series and integral notation, classroom setting, no people"
L2,2,TET213204,Travaux Pratiques Electromagnétisme et Thermodynamique,L2_S2_TET213204.jpg,"Photorealistic photo of a physics lab bench with a thermometer, heating coil and electromagnetic induction setup, bright lab lighting, no people"
L2,2,THD213204,Thermodynamique,L2_S2_THD213204.jpg,"Photorealistic close-up of a steam engine model with a thermometer, visible heat glow, industrial physics aesthetic, warm tones, no people"
L3,1,ALG212205,Algèbre et géométrie,L3_S1_ALG212205.jpg,"Photorealistic close-up of a chalkboard combining algebraic equations and geometric shapes and diagrams, classroom lighting, no people"
L3,1,ANC212205,Analyse complexe,L3_S1_ANC212205.jpg,"Photorealistic photo of a notebook page showing the complex plane with plotted points and contour paths, elegant desk lighting, no people"
L3,2,ANE211206,Anglais et Entrepreneuriat,L3_S2_ANE211206.jpg,"Photorealistic photo of a modern office desk with an English business book, a laptop and a small potted plant, bright natural light, no people"
L3,2,ANN212206,Analyse numérique,L3_S2_ANN212206.jpg,"Photorealistic photo of a computer screen showing a numerical error convergence graph next to a scientific calculator, desk setting, no people"
L3,2,CDC212206,Calcul Différentiel et Analyse convexe,L3_S2_CDC212206.jpg,"Photorealistic close-up of a chalkboard with convex function graphs and gradient notation, classroom lighting, no people"
L3,1,DIM212205,Didactique des Mathématiques,L3_S1_DIM212205.jpg,"Photorealistic photo of a classroom chalkboard with a geometry lesson drawn on it and empty student desks in the foreground, warm daylight, no people"
L3,2,HMA213206,Hydrostatique et mécanique analytique,L3_S2_HMA213206.jpg,"Photorealistic photo of a water tank pressure demonstration apparatus in a physics lab, clear water and glass tubes, bright lighting, no people"
L3,1,MEI212205,Théorie de la mesure et Intégration,L3_S1_MEI212205.jpg,"Photorealistic close-up of a chalkboard with measure theory and integral notation (sigma-algebras, integrals), classroom lighting, no people"
L3,1,MMC213205,Mécanique des milieux continus et elasticité,L3_S1_MMC213205.jpg,"Photorealistic photo of a stretched spring or rubber band under tension on a lab bench, demonstrating elasticity, dramatic lighting, no people"
L3,2,OPA212206,Optimisation et Analyse factorielle,L3_S2_OPA212206.jpg,"Photorealistic photo of a computer screen showing a 3D optimization surface plot with a highlighted minimum point, modern desk setup, no people"
L3,2,PRO212206,Probabilités,L3_S2_PRO212206.jpg,"Photorealistic photo of dice, a roulette-style spinner and playing cards arranged on a table, soft studio lighting, no people"
L3,1,ROP212205,Recherche Opérationnelle,L3_S1_ROP212205.jpg,"Photorealistic photo of a logistics network map pinned on a board with strings connecting nodes, office setting, no people"
L3,2,STI212206,Statistique inférentielle,L3_S2_STI212206.jpg,"Photorealistic photo of a laptop screen showing statistical hypothesis test graphs and confidence intervals, desk setting, no people"
L3,1,TOP212205,Topologie,L3_S1_TOP212205.jpg,"Photorealistic photo of a coffee mug and a donut placed side by side on a table illustrating topological equivalence, soft natural light, elegant composition, no people"
